"","month","count","date","Month_Yr"
"1","01",37503,"2011-01-01","2011-01"
"2","02",47558,"2011-02-01","2011-02"
"3","03",63195,"2011-03-01","2011-03"
"4","04",93100,"2011-04-01","2011-04"
"5","05",133785,"2011-05-01","2011-05"
"6","06",141743,"2011-06-01","2011-06"
"7","07",139578,"2011-07-01","2011-07"
"8","08",135020,"2011-08-01","2011-08"
"9","09",125901,"2011-09-01","2011-09"
"10","10",122048,"2011-10-01","2011-10"
"11","11",101024,"2011-11-01","2011-11"
"12","12",86312,"2011-12-01","2011-12"
"13","01",95871,"2012-01-01","2012-01"
"14","02",102235,"2012-02-01","2012-02"
"15","03",163211,"2012-03-01","2012-03"
"16","04",172478,"2012-04-01","2012-04"
"17","05",193718,"2012-05-01","2012-05"
"18","06",200636,"2012-06-01","2012-06"
"19","07",201560,"2012-07-01","2012-07"
"20","08",212093,"2012-08-01","2012-08"
"21","09",216264,"2012-09-01","2012-09"
"22","10",196901,"2012-10-01","2012-10"
"23","11",151328,"2012-11-01","2012-11"
"24","12",122616,"2012-12-01","2012-12"
"25","01",124989,"2013-01-01","2013-01"
"26","02",110102,"2013-02-01","2013-02"
"27","03",157366,"2013-03-01","2013-03"
"28","04",236442,"2013-04-01","2013-04"
"29","05",250463,"2013-05-01","2013-05"
"30","06",253767,"2013-06-01","2013-06"
"31","07",268016,"2013-07-01","2013-07"
"32","08",288793,"2013-08-01","2013-08"
"33","09",281937,"2013-09-01","2013-09"
"34","10",254649,"2013-10-01","2013-10"
"35","11",192417,"2013-11-01","2013-11"
"36","12",136600,"2013-12-01","2013-12"
"37","01",112697,"2014-01-01","2014-01"
"38","02",122663,"2014-02-01","2014-02"
"39","03",165762,"2014-03-01","2014-03"
"40","04",269511,"2014-04-01","2014-04"
"41","05",306734,"2014-05-01","2014-05"
"42","06",316574,"2014-06-01","2014-06"
"43","07",327833,"2014-07-01","2014-07"
"44","08",320870,"2014-08-01","2014-08"
"45","09",323936,"2014-09-01","2014-09"
"46","10",297962,"2014-10-01","2014-10"
"47","11",197048,"2014-11-01","2014-11"
"48","12",151560,"2014-12-01","2014-12"
"49","01",127411,"2015-01-01","2015-01"
"50","02",108052,"2015-02-01","2015-02"
"51","03",188256,"2015-03-01","2015-03"
"52","04",318340,"2015-04-01","2015-04"
"53","05",367185,"2015-05-01","2015-05"
"54","06",314293,"2015-06-01","2015-06"
"55","07",364015,"2015-07-01","2015-07"
"56","08",364313,"2015-08-01","2015-08"
"57","09",328038,"2015-09-01","2015-09"
"58","10",290351,"2015-10-01","2015-10"
"59","11",228295,"2015-11-01","2015-11"
"60","12",187357,"2015-12-01","2015-12"
"61","01",123252,"2016-01-01","2016-01"
"62","02",145654,"2016-02-01","2016-02"
"63","03",283493,"2016-03-01","2016-03"
"64","04",285516,"2016-04-01","2016-04"
"65","05",288720,"2016-05-01","2016-05"
"66","06",368097,"2016-06-01","2016-06"
"67","07",366458,"2016-07-01","2016-07"
"68","08",357328,"2016-08-01","2016-08"
"69","09",344408,"2016-09-01","2016-09"
"70","10",343243,"2016-10-01","2016-10"
"71","11",259106,"2016-11-01","2016-11"
"72","12",168719,"2016-12-01","2016-12"
"73","01",174804,"2017-01-01","2017-01"
"74","02",226303,"2017-02-01","2017-02"
"75","03",245403,"2017-03-01","2017-03"
"76","04",365990,"2017-04-01","2017-04"
"77","05",339677,"2017-05-01","2017-05"
"78","06",398751,"2017-06-01","2017-06"
"79","07",397680,"2017-07-01","2017-07"
"80","08",402534,"2017-08-01","2017-08"
"81","09",391371,"2017-09-01","2017-09"
"82","10",384833,"2017-10-01","2017-10"
"83","11",252534,"2017-11-01","2017-11"
"84","12",177897,"2017-12-01","2017-12"
